X,Y
5.0,0.0
4.99,0.314
4.961,0.627
4.911,0.937
4.843,1.243
4.755,1.545
4.649,1.841
4.524,2.129
4.382,2.409
4.222,2.679
4.045,2.939
3.853,3.187
3.645,3.423
3.423,3.645
3.187,3.853
2.939,4.045
2.679,4.222
2.409,4.382
2.129,4.524
1.841,4.649
1.545,4.755
1.243,4.843
0.937,4.911
0.627,4.961
0.314,4.99
0.0,5.0
-0.314,4.99
-0.627,4.961
-0.937,4.911
-1.243,4.843
-1.545,4.755
-1.841,4.649
-2.129,4.524
-2.409,4.382
-2.679,4.222
-2.939,4.045
-3.187,3.853
-3.423,3.645
-3.645,3.423
-3.853,3.187
-4.045,2.939
-4.222,2.679
-4.382,2.409
-4.524,2.129
-4.649,1.841
-4.755,1.545
-4.843,1.243
-4.911,0.937
-4.961,0.627
-4.99,0.314
-5.0,0.0
-4.99,-0.314
-4.961,-0.627
-4.911,-0.937
-4.843,-1.243
-4.755,-1.545
-4.649,-1.841
-4.524,-2.129
-4.382,-2.409
-4.222,-2.679
-4.045,-2.939
-3.853,-3.187
-3.645,-3.423
-3.423,-3.645
-3.187,-3.853
-2.939,-4.045
-2.679,-4.222
-2.409,-4.382
-2.129,-4.524
-1.841,-4.649
-1.545,-4.755
-1.243,-4.843
-0.937,-4.911
-0.627,-4.961
-0.314,-4.99
-0.0,-5.0
0.314,-4.99
0.627,-4.961
0.937,-4.911
1.243,-4.843
1.545,-4.755
1.841,-4.649
2.129,-4.524
2.409,-4.382
2.679,-4.222
2.939,-4.045
3.187,-3.853
3.423,-3.645
3.645,-3.423
3.853,-3.187
4.045,-2.939
4.222,-2.679
4.382,-2.409
4.524,-2.129
4.649,-1.841
4.755,-1.545
4.843,-1.243
4.911,-0.937
4.961,-0.627
4.99,-0.314
