X,Y
5.129958,-0.890772
4.647189,0.730031
6.916795,-5.300150
3.381068,2.396323
2.169196,3.689143
2.394589,4.926918
62.562037,26.249706
1.430272,5.372694
0.815997,4.243293
0.495374,5.277963
-0.533392,5.970296
-2.766138,3.951648
-2.793696,3.017701
-3.955837,1.643700
-8.450503,0.931783
-10.704350,0.564602
-11.804628,0.382938
-3.712166,1.149249
-4.753154,-0.117269
-6.423153,0.633061
-6.893922,-0.661775
-7.188446,-1.833771
-8.685286,-3.078104
-10.266796,-3.031678
-9.294010,-2.714656
138.570326,-109.869176
-6.149081,-0.708827
-5.111599,-1.375251
-4.090919,-2.058514
-3.373441,-3.772210
-3.421474,-5.334476
-2.755595,-4.703917
0.377993,-4.293971
-0.116246,-5.173511
1.122575,-4.965209
0.890141,-4.513445
2.193705,-4.238850
2.753986,-4.076156
3.270251,-4.011323
4.458678,-3.593422
4.466048,-2.750178
5.373650,-2.107637
4.835259,-0.504063
